pair,crop,mae_h1,mae_h2,mae_h3,mape_h1,mape_h2,mape_h3,mape_avg,epochs_trained,n_rows,n_sequences
cassava/Accra,cassava,0.8990710807840027,1.383346361815929,1.2901020647088686,14.659486490258752,22.521237789759006,21.122779287273907,19.434501189097222,19,54,28
cassava/Bolgatanga,cassava,0.6720632480382921,0.5538651596903801,0.710880396783352,12.562897558255468,9.288171511825293,12.69347358432363,11.514847551468131,16,48,22
cassava/Cape Coast,cassava,7.609335314869881,9.83008842867613,9.988515357315539,39.02145436700105,42.595549909490416,44.37038917150895,41.995797816000135,17,50,24
cassava/Ho,cassava,3.4241499048471447,3.826441342830657,4.595169982910154,38.91548907999502,40.54010302239913,46.4094758560392,41.95502265281112,75,43,17
cassava/Kintampo,cassava,2.1809095918536183,2.4501306301951407,2.320027630150318,35.159841999886496,36.95700231268534,35.367163014324085,35.82800244229864,16,50,24
cassava/Kumasi,cassava,1.231378618478775,2.353414954046408,1.5876725967725112,18.065821766311497,34.350644754240925,23.12231158329725,25.179592701283223,17,52,26
cassava/Obuasi,cassava,3.7151457591727373,3.631099690422415,4.03299610696733,47.090438543709055,39.380280612474536,39.48262312355404,41.98444742657921,40,44,18
cassava/Sunyani,cassava,3.838644321411848,6.201023019651569,5.837187057534853,31.841386064870125,50.04725505549601,48.080561604945686,43.32306757510394,17,53,27
cassava/Tamale,cassava,2.267564368247986,4.443310308456421,3.6932398080825797,24.99460640479829,44.6410791186237,34.725320432408274,34.78700198527675,20,45,19
cassava/Techiman,cassava,2.9414128776391357,4.290076102614403,3.84184868991375,38.504792182339074,52.23093731718635,45.64435623260328,45.46002857737624,16,55,29
cassava/Tema,cassava,7.476956734309595,5.3503746050099545,4.8146019874016455,43.026925857507564,27.621020016456598,26.32298672241698,32.323644198793716,17,52,26
cassava/Wa,cassava,1.5865142885843906,2.3645639228820787,2.8118718147277826,16.706391637398813,19.90373672459662,27.586163896502875,21.398764086166107,19,38,12
maize/Accra,maize,0.5861250678698218,0.8895487739642457,0.4840324151515956,9.96460853684921,13.9543552088369,7.493901137832753,10.470954961172955,36,54,28
maize/Bolgatanga,maize,0.2678149847984317,0.3862203242778778,0.332158791422844,4.965821678812543,7.217354054320083,6.220637896084654,6.1346045430724265,33,49,23
maize/Cape Coast,maize,0.8266835145155592,1.1194237407048548,0.9642070202032729,9.624039205395404,12.310886294161401,10.359571612122835,10.76483237055988,30,54,28
maize/Ho,maize,0.7395348177850245,1.2055791111290455,0.9391581907868383,12.001846426102016,18.37116762400279,13.854234565459194,14.742416205188,23,43,17
maize/Kintampo,maize,0.4069342744350436,0.23942076730728132,0.8252830176353452,8.05273281716761,4.679395757659812,16.042094212581777,9.591407595803068,18,51,25
maize/Kumasi,maize,3.171688727637132,2.1879602334896724,2.708272197445233,37.68215302913165,24.907591217218783,30.506437830562167,31.0320606923042,18,52,26
maize/Obuasi,maize,1.467282988131046,1.519156077504158,2.4656975135207175,19.683245594638702,15.627804610329484,23.328800268396236,19.546616824454805,18,44,18
maize/Sunyani,maize,1.6501716770728434,1.3596502282222112,1.2126032149791717,30.337948123712394,24.032365920800753,21.053419135674435,25.141244393395862,68,53,27
maize/Tamale,maize,1.1767373871803286,0.8136354625225071,1.471427589058876,21.601868507289286,14.76931544578061,25.868019579045033,20.74640117737164,20,45,19
maize/Techiman,maize,1.466001006762187,1.186431546211243,1.710846384366354,27.665773323171344,21.886182721124587,31.15675152234094,26.90290252221229,20,55,29
maize/Tema,maize,1.3218983185291293,0.7321123626232149,0.6816908013820656,15.03837729112031,8.131133630669751,8.134735100024649,10.434748673938238,27,51,25
maize/Wa,maize,0.9287484145164489,0.6181907257437709,0.5894747100770472,16.29703735977108,10.792422265287149,10.18651276420745,12.425324129755225,39,42,16
maize/Yendi,maize,0.5501348565518849,0.6983205009996905,0.23158961609005857,10.533327970087557,14.005370560756797,4.340714728714632,9.626471086519663,33,46,20
plantain/Accra,plantain,1.3034481783707939,1.2701928903659188,1.2878266576925914,25.144231622250228,19.97472972015761,21.171777361519233,22.096912901309025,33,53,27
plantain/Bolgatanga,plantain,1.0049448817968365,0.9634001141786577,0.8029978194832794,11.555866958338065,10.974405593364796,8.837818743760653,10.456030431821171,22,45,19
plantain/Cape Coast,plantain,2.343332296113173,2.480649028023083,3.3780564632018404,23.160067631651646,21.438435524069913,28.615890759322944,24.4047979716815,70,53,27
plantain/Ho,plantain,0.25534675002098073,0.36375659435987484,0.4559058314561846,4.4341965014132425,6.511055513374299,7.809022487788036,6.251424834191859,70,43,17
plantain/Kintampo,plantain,1.4570591044425967,0.8570399252573652,0.8273527042071027,25.765663341104634,20.437753854402043,16.017970954414114,20.740462716640263,18,37,11
plantain/Kumasi,plantain,0.27665667250752435,0.9783261131644254,1.5761149648725994,5.504343496172879,19.863963582666955,31.28219467911717,18.88350058598567,35,50,24
plantain/Obuasi,plantain,0.59039327442646,0.8198513370752334,1.1149755048751833,8.731626037672285,12.287874521884584,18.29078846178985,13.103429673782239,30,44,18
plantain/Sunyani,plantain,1.2860635178287825,1.1787253741423285,0.4228685551881786,37.47885602582413,23.526362183690516,7.595389088717409,22.866869099410682,19,52,26
plantain/Tamale,plantain,0.7862428329885007,0.9033005507290364,0.8147890892624856,12.051265239171421,16.527802594621573,15.741315719789819,14.773461184527605,49,45,19
plantain/Techiman,plantain,1.0989891784389816,0.8231200518210735,0.659944982528687,31.723753477564394,18.536054231205714,12.075463362773531,20.778423690514547,27,53,27
plantain/Tema,plantain,2.386808479428292,3.1044196142256255,4.218814555168153,17.111518296024624,23.193968658452942,37.16707677671962,25.82418791039906,25,49,23
plantain/Wa,plantain,1.0180679914355295,0.2715775258839148,3.0207233428955087,11.464729633282987,3.0583054716657063,20.16652517224755,11.563186759065415,19,36,10
rice/Accra,rice,5.503768546183903,5.7919989228248605,5.788409116268159,32.562256893609515,32.3548098905105,32.09327522389919,32.33678066933973,29,54,28
rice/Bolgatanga,rice,0.6065300178527835,0.8564292768239969,0.6606714910268778,6.583752076981009,9.252060297792005,7.151633427971007,7.662481934248007,36,49,23
rice/Cape Coast,rice,1.8294591324528053,1.4541259618600206,1.6977877952655147,10.902129254076508,9.040202468117787,10.93239052617443,10.291574082789575,44,54,28
rice/Ho,rice,0.7424727648496634,0.6037844711542131,0.41098923504352536,6.948017546941024,5.566001171665597,3.4848987378942584,5.332972485500293,58,43,17
rice/Kintampo,rice,0.4654078493118286,0.35148214173316994,0.3040451611280449,5.13876465659943,3.8696081905238837,3.2111746074724152,4.073182484865243,30,50,24
rice/Kumasi,rice,2.2377363622188566,1.2020403090119365,1.4032383272051823,16.33363411538707,8.143374137101267,9.958368707128296,11.478458986538877,53,52,26
rice/Obuasi,rice,1.8170018708705906,1.289339914321899,0.9254830539226528,15.515042834528229,12.570661129970734,6.7405903417527515,11.60876476875057,45,44,18
rice/Sunyani,rice,2.0845901624361676,0.7381460543473564,1.0215208526452386,18.09954659928443,6.523415639564738,9.336032271975004,11.31966483694139,53,53,27
rice/Tamale,rice,3.030549162477256,1.807085761725903,1.5847259433567533,25.182853477500867,19.38803598749899,17.624235911766874,20.731708458922245,23,45,19
rice/Techiman,rice,0.8103100532293318,0.5103188132246338,0.602096878290177,8.188648290959016,5.2052958829804625,6.209388382638547,6.5344441855260085,30,55,29
rice/Wa,rice,0.852511085470517,0.1189586633443837,0.38215667843818696,8.125898331075671,1.4280751902086877,4.17116245509788,4.575045325460747,20,41,15
rice/Yendi,rice,0.7256440070271486,0.5026456102728842,0.8176174375414844,8.321511620078454,6.073552665224365,9.030033722175338,7.808366002492718,20,46,20
